Year,Month,Day,Hour,PM2.5,PM10_mask,Retrospective
2016,3,10,4,40.13,1,0
2016,3,10,5,46.89,1,0
2016,3,10,6,50.66,1,0
2016,3,10,7,52.76,1,0
2016,3,10,8,52.27,1,0
2016,3,10,9,48.55,1,0
2016,3,10,10,46.74,1,0
2016,3,10,11,44.28,1,0
2016,3,10,12,43.23,1,0
2016,3,10,13,41.88,1,0
2016,3,10,14,39.05,1,0
2016,3,10,15,34.93,1,0
2016,3,10,16,33.63,1,0
2016,3,10,17,37.04,1,0
2016,3,10,18,39.19,1,0
2016,3,10,19,44.17,1,0
2016,3,10,20,43.46,1,0
2016,3,10,21,40.68,1,0
2016,3,10,22,40.04,1,0
2016,3,10,23,38.99,1,0
2016,3,11,0,38.18,1,0
2016,3,11,1,40.16,1,0
2016,3,11,2,40.2,1,0
2016,3,11,3,40.18,1,0
2016,3,11,4,40.46,1,0
2016,3,11,5,40.87,1,0
2016,3,11,6,41.01,1,0
2016,3,11,7,41.08,1,0
2016,3,11,8,40.96,1,0
2016,3,11,9,40.95,1,0
2016,3,11,10,40.97,1,0
2016,3,11,11,40.81,1,0
2016,3,11,12,40.77,1,0
2016,3,11,13,40.51,1,0
2016,3,11,14,40.42,1,0
2016,3,11,15,40.25,1,0
2016,3,11,16,40.25,1,0
2016,3,11,17,40.22,1,0
2016,3,11,18,40.35,1,0
2016,3,11,19,40.59,1,0
2016,3,11,20,41.25,1,0
2016,3,11,21,41.27,1,0
2016,3,11,22,41.18,1,0
2016,3,11,23,40.41,1,0
2016,3,12,0,40.96,1,0
2016,3,12,1,40.99,1,0
2016,3,12,2,40.84,1,0
2016,3,12,3,40.74,1,0
2016,3,12,4,40.27,1,0
2016,3,12,5,40.36,1,0
2016,3,12,6,41.05,1,0
2016,3,12,7,40.96,1,0
2016,3,12,8,41,1,0
2016,3,12,9,41.01,1,0
2016,3,12,10,40.9,1,0
2016,3,12,11,40.9,1,0
2016,3,12,12,40.29,1,0
2016,3,12,13,40.29,1,0
2016,3,12,14,40.2,1,0
2016,3,12,15,40.13,1,0
2016,3,12,16,40.13,1,0
2016,3,12,17,30.08,1,0
2016,3,12,18,33.12,1,0
2016,3,12,19,33.58,1,0
2016,3,12,20,33.1,1,0
2016,3,12,21,31.33,1,0
2016,3,12,22,31.34,1,0
2016,3,12,23,31.16,1,0
2016,3,13,0,31.72,1,0
2016,3,13,1,32.51,1,0
2016,3,13,3,33.52,1,0
2016,3,13,4,31.63,1,0
2016,3,13,5,30.86,1,0
2016,3,13,6,32.62,1,0
2016,3,13,7,38.67,1,0
2016,3,13,8,41.73,1,0
2016,3,13,9,39.24,1,0
2016,3,13,10,35.83,1,0
2016,3,13,11,34.89,1,0
2016,3,13,12,33.5,1,0
2016,3,13,13,32.78,1,0
2016,3,13,14,32.69,1,0
2016,3,13,15,33.05,1,0
2016,3,13,16,31.71,1,0
2016,3,13,17,33.01,1,0
2016,3,13,18,37.09,1,0
2016,3,13,19,40.92,1,0
2016,3,13,20,41.24,1,0
2016,3,13,21,42.35,1,0
2016,3,13,22,39.13,1,0
2016,3,13,23,35.58,1,0
2016,3,14,0,35.91,1,0
2016,3,14,1,37.58,1,0
2016,3,14,2,36.28,1,0
2016,3,14,3,36.6,1,0
2016,3,14,4,38.47,1,0
2016,3,14,5,39.02,1,0
2016,3,14,6,40.93,1,0
2016,3,14,7,44.41,1,0
2016,3,14,8,47.44,1,0
2016,3,14,9,44.98,1,0
2016,3,14,10,41.93,1,0
2016,3,14,11,36.07,1,0
2016,3,14,12,35.41,1,0
2016,3,14,13,33.87,1,0
2016,3,14,14,32.54,1,0
2016,3,14,16,33.9,1,0
2016,3,14,17,32.98,1,0
2016,3,14,18,34.13,1,0
2016,3,14,19,34.93,1,0
2016,3,14,20,39.14,1,0
2016,3,14,21,40.54,1,0
2016,3,14,22,39.69,1,0
2016,3,14,23,39.75,1,0
2016,3,15,0,39.26,1,0
2016,3,15,1,36.54,1,0
2016,3,15,2,35.14,1,0
2016,3,15,3,34.95,1,0
2016,3,15,4,35.6,1,0
2016,3,15,5,39.85,1,0
2016,3,15,6,39.39,1,0
2016,3,15,7,42.67,1,0
2016,3,15,8,42.4,1,0
2016,3,15,9,45.84,1,0
2016,3,15,10,41.91,1,0
2016,3,15,11,38.31,1,0
2016,3,15,12,35.56,1,0
2016,3,15,13,34.42,1,0
2016,3,15,14,33.76,1,0
2016,3,15,15,33.67,1,0
2016,3,15,16,33.19,1,0
2016,3,15,17,34.16,1,0
2016,3,15,18,36.96,1,0
2016,3,15,19,38.76,1,0
2016,3,15,20,43.47,1,0
2016,3,15,21,44.71,1,0
2016,3,15,22,44.75,1,0
2016,3,15,23,39.7,1,0
2016,3,16,0,38.02,1,0
2016,3,16,1,37.26,1,0
2016,3,16,2,37.28,1,0
2016,3,16,5,37.29,1,0
2016,3,16,6,40.59,1,0
2016,3,16,7,46.01,1,0
2016,3,16,8,45.88,1,0
2016,3,16,9,43.4,1,0
2016,3,16,10,41.62,1,0
2016,3,16,11,40.72,1,0
2016,3,16,12,40.12,1,0
2016,3,16,13,38.41,1,0
2016,3,16,14,38.9,1,0
2016,3,16,15,36.39,1,0
2016,3,16,16,36.67,1,0
2016,3,16,17,36.44,1,0
2016,3,16,18,40.21,1,0
2016,3,16,19,43.9,1,0
2016,3,16,20,47.93,1,0
2016,3,16,21,50.83,1,0
2016,3,16,22,49.55,1,0
2016,3,16,23,41.14,1,0
2016,3,17,0,38.03,1,0
2016,3,17,1,38.15,1,0
2016,3,17,2,36.4,1,0
2016,3,17,3,34.31,1,0
2016,3,17,4,33.42,1,0
2016,3,17,5,34.05,1,0
2016,3,17,6,38.27,1,0
2016,3,17,7,45.16,1,0
2016,3,17,8,46.57,1,0
2016,3,17,9,45.57,1,0
2016,3,17,10,43.48,1,0
2016,3,17,11,41.62,1,0
2016,3,17,12,39.77,1,0
2016,3,17,13,40.64,1,0
2016,3,17,14,39.63,1,0
2016,3,17,15,38.63,1,0
2016,3,17,16,36.33,1,0
2016,3,17,17,36.58,1,0
2016,3,17,18,39.03,1,0
2016,3,17,19,48.07,1,0
2016,3,17,20,47.77,1,0
2016,3,17,21,51.08,1,0
2016,3,17,22,49.36,1,0
2016,3,17,23,45.23,1,0
2016,3,18,0,42.09,1,0
2016,3,18,1,42.39,1,0
2016,3,18,2,42.77,1,0
2016,3,18,3,43.63,1,0
2016,3,18,4,39.7,1,0
2016,3,18,5,40.65,1,0
2016,3,18,6,42.86,1,0
2016,3,18,7,47.68,1,0
2016,3,18,8,45.05,1,0
2016,3,18,9,41.1,1,0
2016,3,18,10,40.41,1,0
2016,3,18,11,37.89,1,0
2016,3,18,12,39.38,1,0
2016,3,18,13,40.71,1,0
2016,3,18,14,42.95,1,0
2016,3,18,15,45.25,1,0
2016,3,18,16,45.53,1,0
2016,3,18,17,41.77,1,0
2016,3,18,18,43.57,1,0
2016,3,18,19,46,1,0
2016,3,18,20,47.22,1,0
2016,3,18,21,46.05,1,0
2016,3,18,22,43.87,1,0
2016,3,18,23,45.58,1,0
2016,3,19,0,47.53,1,0
2016,3,19,1,60.11,0,0
2016,3,19,2,54.83,0,0
2016,3,19,3,53.39,0,0
2016,3,19,4,52.56,0.87,0
2016,3,19,5,52.52,0.72,0
2016,3,19,6,54.91,0.72,0
2016,3,19,7,56.43,0.72,0
2016,3,19,8,60.67,0.72,0
2016,3,19,9,59.98,0.72,0
2016,3,19,10,62.24,0.71,0
2016,3,19,11,63.21,0.71,0
2016,3,19,12,67.3,0.7,0
2016,3,19,13,67.25,0.7,0
2016,3,19,14,65.5,0.7,0
2016,3,19,15,64.43,0.7,0
2016,3,19,16,62.98,0.71,0
2016,3,19,17,66.05,0.71,0
2016,3,19,18,64.79,0.71,0
2016,3,19,19,66.67,0.77,0
2016,3,19,20,71.14,0.77,0
2016,3,19,21,72.76,0.77,0
2016,3,19,22,66.82,0.72,0
2016,3,19,23,67.55,0.72,0
2016,3,20,0,66.52,0.72,0
2016,3,20,1,62.91,0.72,0
2016,3,20,2,59.05,0.72,0
2016,3,20,3,55.49,0.72,0
2016,3,20,4,57.27,0.72,0
2016,3,20,5,59.33,0.72,0
2016,3,20,6,63.76,0.72,0
2016,3,20,7,62.77,0.72,0
2016,3,20,8,64.48,0.72,0
2016,3,20,9,63.24,0.72,0
2016,3,20,10,60.91,0.72,0
2016,3,20,11,60.25,0.71,0
2016,3,20,12,57.72,0.71,0
2016,3,20,13,60.62,0.76,0
2016,3,20,14,57.67,0.76,0
2016,3,20,15,56.63,0.76,0
2016,3,20,16,55.81,0.76,0
2016,3,20,17,55.05,0.76,0
2016,3,20,18,55.48,0.79,0
2016,3,20,19,63.23,0.79,0
2016,3,20,20,63.9,0.79,0
2016,3,20,21,62.97,0.77,0
2016,3,20,22,60.16,0.77,0
2016,3,20,23,58.26,0.77,0
2016,3,21,0,59.25,0.77,0
2016,3,21,1,56.11,0.77,0
2016,3,21,2,52.7,0.77,0
2016,3,21,3,53.13,0.77,0
2016,3,21,4,52,0.77,0
2016,3,21,5,53.84,0.77,0
2016,3,21,6,53.94,0.77,0
2016,3,21,7,55.93,0.77,0
2016,3,21,8,61.12,0.77,0
2016,3,21,9,56.18,0.74,0
2016,3,21,10,55.93,0.73,0
2016,3,21,11,55.58,0.76,0
2016,3,21,12,63.13,0.76,0
2016,3,21,13,55.51,0.76,0
2016,3,21,14,50.34,0.76,0
2016,3,21,15,45.45,0.78,0
2016,3,21,16,45.26,0.78,0
2016,3,21,17,44.77,0.78,0
2016,3,21,18,48.18,0.78,0
2016,3,21,19,53.05,0.79,0
2016,3,21,20,58.41,0.79,0
2016,3,21,21,56.67,0.84,0
2016,3,21,22,58.97,0.84,0
2016,3,21,23,61.46,0.81,0
2016,3,22,0,56.79,0.8,0
2016,3,22,1,54.12,0.74,0
2016,3,22,2,56.66,0.72,0
2016,3,22,3,52.74,0.73,0
2016,3,22,4,49.85,0.73,0
2016,3,22,5,56.1,0.8,0
2016,3,22,6,57.11,0.8,0
2016,3,22,7,60.52,0.8,0
2016,3,22,8,63.05,0.79,0
2016,3,22,9,58.69,0.73,0
2016,3,22,10,58.67,0.73,0
2016,3,22,11,58.82,0.73,0
2016,3,22,12,56.12,0.73,0
2016,3,22,13,56.68,0.77,0
2016,3,22,14,53.09,0.77,0
2016,3,22,15,56.05,0.77,0
2016,3,22,16,56.17,0.76,0
2016,3,22,17,56.64,0.73,0
2016,3,22,18,61.46,0.73,0
2016,3,22,19,66.69,0.72,0
2016,3,22,20,71.05,0.72,0
2016,3,22,21,70.43,0.72,0
2016,3,22,22,66.99,0.78,0
2016,3,22,23,66.75,0.77,0
2016,3,23,0,61.26,0.77,0
2016,3,23,1,63.59,0.77,0
2016,3,23,2,61.44,0.73,0
2016,3,23,3,58.16,0.72,0
2016,3,23,4,60.45,0.72,0
2016,3,23,5,60.81,0.72,0
2016,3,23,6,67.35,0.73,0
2016,3,23,7,73.44,0.73,0
2016,3,23,8,72.24,0.73,0
2016,3,23,9,65.63,0.61,0
2016,3,23,10,64.77,0.61,0
2016,3,23,11,71.76,0.72,0
2016,3,23,12,68.39,0.72,0
2016,3,23,13,65.86,0.72,0
2016,3,23,14,61.26,0.71,0
2016,3,23,15,58.78,0.72,0
2016,3,23,16,59.97,0.72,0
2016,3,23,17,60.11,0.72,0
2016,3,23,18,63.57,0.72,0
2016,3,23,19,69.69,0.73,0
2016,3,23,20,74.22,0.73,0
